time,graphics,dynamic
1729549770.3777518,48,1000
1729549770.5088062,48,1000
1729549770.6317844,48,1000
1729549770.7598271,47,1000
1729549770.936825,47,1000
1729549771.0558457,47,1000
1729549771.1698592,47,1000
1729549771.280877,47,1000
1729549771.3628745,47,1000
1729549771.4928775,47,1000
1729549771.6098936,47,1000
1729549771.7308812,46,1000
1729549771.8419228,46,1000
1729549771.977917,46,1000
1729549772.0879378,46,1000
1729549772.2049477,46,1000
1729549772.3269608,46,1000
1729549772.4389617,46,1000
1729549772.553949,46,1000
1729549772.680957,46,1000
1729549772.795989,47,1000
1729549772.9149966,47,1000
1729549773.0290227,47,1000
1729549773.1610088,47,1000
1729549773.2805138,47,1000
1729549773.3885083,47,1000
1729549773.5045204,47,1000
1729549773.6125424,47,1000
1729549773.7325134,46,999
1729549773.858521,46,999
1729549773.9698768,46,999
1729549774.0808654,46,999
1729549774.1958754,46,999
1729549774.3089108,46,999
1729549774.418925,46,999
1729549774.4998927,46,999
1729549774.6259072,46,999
1729549774.7389212,43,1000
1729549774.8499186,43,1000
1729549774.9449606,43,1000
1729549775.0599475,43,1000
1729549775.175973,43,1000
1729549775.2889843,43,1000
1729549775.3719618,43,1000
1729549775.4809668,43,1000
1729549775.5670033,43,1000
1729549775.6760223,43,1000
1729549775.7870238,46,1000
1729549775.8700204,46,1000
1729549775.9820223,46,1000
1729549776.0890565,46,1000
1729549776.1700315,46,1000
1729549776.2830453,46,1000
1729549776.378057,46,1000
1729549776.4920776,46,1000
1729549776.6121347,46,1000
1729549776.7261524,45,1000
1729549776.841185,45,1000
1729549776.956183,45,1000
1729549777.0592105,45,1000
1729549777.1762316,45,1000
1729549777.2932413,45,1000
1729549777.4084895,45,1000
1729549777.585688,45,1000
1729549777.7037117,45,999
1729549777.814722,45,999
1729549777.926741,45,999
1729549778.058744,45,999
1729549778.2277563,45,999
1729549778.3597765,45,999
1729549778.4687912,45,999
1729549778.614787,45,999
1729549778.7648053,43,1000
1729549778.8678265,43,1000
1729549778.9638467,43,1000
1729549779.080863,43,1000
1729549779.2058516,43,1000
1729549779.3148792,43,1000
1729549779.4198935,43,1000
1729549779.523859,43,1000
1729549779.6108742,43,1000
1729549779.709899,48,1000
1729549779.8119013,48,1000
1729549779.9339063,48,1000
1729549780.0469472,48,1000
1729549780.151924,48,1000
1729549780.2880437,48,1000
1729549780.4070637,48,1000
1729549780.5370622,48,1000
1729549780.6710913,48,1000
1729549780.791099,47,1000
1729549780.9021049,47,1000
1729549781.0121758,47,1000
1729549781.144206,47,1000
1729549781.254246,47,1000
1729549781.3592114,47,1000
1729549781.4322085,47,1000
1729549781.5322196,47,1000
1729549781.6352286,47,1000
1729549781.7352421,46,1000
1729549781.8422444,46,1000
1729549781.9432573,46,1000
1729549782.04229,46,1000
1729549782.153278,46,1000
1729549782.2643223,46,1000
1729549782.3402972,46,1000
1729549782.4472973,46,1000
1729549782.5653079,46,1000
1729549782.6883228,48,1000
1729549782.8553307,48,1000
1729549782.9943469,48,1000
1729549783.0953565,48,1000
1729549783.1933644,48,1000
1729549783.284393,48,1000
1729549783.3854134,48,1000
1729549783.4924297,48,1000
1729549783.571397,48,1000
1729549783.6724112,48,1000
1729549783.7834136,50,1000
1729549783.884457,50,1000
1729549784.0024762,50,1000
1729549784.106474,50,1000
1729549784.2104826,50,1000
1729549784.3174994,50,1000
1729549784.423509,50,1000
1729549784.5035458,50,1000
1729549784.6165545,50,1000
1729549784.7275362,47,999
1729549784.8305628,47,999
1729549784.902547,47,999
1729549784.9975562,47,999
1729549785.0965614,47,999
1729549785.1935678,47,999
1729549785.267607,47,999
1729549785.3665843,47,999
1729549785.4876175,47,999
1729549785.6256258,47,999
1729549785.7286491,47,1000
1729549785.804663,47,1000
1729549785.9076667,47,1000
1729549786.00667,47,1000
1729549786.113686,47,1000
1729549786.2346716,47,1000
1729549786.3396971,47,1000
1729549786.4426997,47,1000
1729549786.5477335,47,1000
1729549786.6597328,47,1000
1729549786.7577384,47,1000
1729549786.8307416,47,1000
1729549786.902726,47,1000
1729549787.0127335,47,1000
1729549787.1127403,47,1000
1729549787.2127979,47,1000
1729549787.3208039,47,1000
1729549787.4257963,47,1000
1729549787.5327866,47,1000
1729549787.604792,47,1000
1729549787.7067912,51,1000
1729549787.8178077,51,1000
1729549787.9259894,51,1000
1729549788.0082042,51,1000
1729549788.1183991,51,1000
1729549788.2393954,51,1000
1729549788.357411,51,1000
1729549788.4714248,51,1000
1729549788.5783978,51,1000
1729549788.6964078,48,1000
1729549788.78647,48,1000
1729549788.897459,48,1000
1729549789.01047,48,1000
1729549789.12249,48,1000
1729549789.2414715,48,1000
1729549789.3875062,48,1000
1729549789.5085216,48,1000
1729549789.622499,48,1000
1729549789.7445414,45,1000
1729549789.864544,45,1000
1729549789.9735541,45,1000
1729549790.0915604,45,1000
1729549790.211574,45,1000
1729549790.32556,45,1000
1729549790.4415743,45,1000
1729549790.550604,45,1000
1729549790.6576147,45,1000
1729549790.7716331,46,999
1729549790.8526094,46,999
1729549790.9658601,46,999
1729549791.0481846,46,999
1729549791.15547,46,999
1729549791.2634804,46,999
1729549791.380462,46,999
1729549791.486823,46,999
1729549791.6124487,46,999
1729549791.7257373,47,998
1729549791.8327327,47,998
1729549791.9817224,47,998
1729549792.1447365,47,998
1729549792.3167608,47,998
1729549792.4347641,47,998
1729549792.5317755,47,998
1729549792.6657856,47,998
1729549792.7838273,43,1000
1729549792.9048386,43,1000
1729549792.9868805,43,1000
1729549793.0963712,43,1000
1729549793.20338,43,1000
1729549793.32837,43,1000
1729549793.449402,43,1000
1729549793.5794284,43,1000
1729549793.7114296,48,1000
1729549793.8254378,48,1000
1729549793.9494433,48,1000
1729549794.0734599,48,1000
1729549794.1884494,48,1000
1729549794.3184597,48,1000
1729549794.4785094,48,1000
1729549794.616489,48,1000
1729549794.7295055,46,1000
1729549794.8435168,46,1000
1729549794.9295213,46,1000
1729549795.0185318,46,1000
1729549795.1365383,46,1000
1729549795.2335687,46,1000
1729549795.348591,46,1000
1729549795.4606078,46,1000
1729549795.5706084,46,1000
1729549795.6486182,46,1000
1729549795.760632,44,999
1729549795.8816307,44,999
1729549796.0106466,44,999
1729549796.1299188,44,999
1729549796.23819,44,999
1729549796.34787,44,999
1729549796.478939,44,999
1729549796.6379328,44,999
1729549796.7517767,53,999
1729549796.8922627,53,999
1729549797.0055397,53,999
1729549797.1125915,53,999
1729549797.227595,53,999
1729549797.3665957,53,999
1729549797.541602,53,999
1729549797.7126157,52,995
1729549797.878627,52,995
1729549797.9876375,52,995
1729549798.1016579,52,995
1729549798.2307055,52,995
1729549798.3507218,52,995
1729549798.4637046,52,995
1729549798.5757177,52,995
1729549798.6897595,50,1000
1729549798.8067734,50,1000
1729549798.927767,50,1000
1729549799.0438457,50,1000
1729549799.126813,50,1000
1729549799.2379167,50,1000
1729549799.3229475,50,1000
1729549799.4360013,50,1000
1729549799.5620446,50,1000
1729549799.69206,51,1000
1729549799.8091445,51,1000
1729549799.9221575,51,1000
1729549800.03419,51,1000
1729549800.1642425,51,1000
1729549800.3022556,51,1000
1729549800.4382987,51,1000
1729549800.5743105,51,1000
1729549800.7013178,50,1000
1729549800.8153,50,1000
1729549800.9012997,50,1000
1729549801.029314,50,1000
1729549801.1523218,50,1000
1729549801.2543404,50,1000
1729549801.360354,50,1000
1729549801.4813557,50,1000
1729549801.5903635,50,1000
1729549801.6943698,47,1000
1729549801.803378,47,1000
1729549801.9063947,47,1000
1729549801.9933987,47,1000
1729549802.1084104,47,1000
1729549802.1974633,47,1000
1729549802.3254619,47,1000
1729549802.4424746,47,1000
1729549802.5554936,47,1000
1729549802.6624982,47,1000
1729549802.7564902,46,1000
1729549802.8595169,46,1000
1729549802.9766147,46,1000
1729549803.0885599,46,1000
1729549803.192564,46,1000
1729549803.2905655,46,1000
1729549803.3885925,46,1000
1729549803.488601,46,1000
1729549803.6295714,46,1000
1729549803.737601,53,999
1729549803.8455806,53,999
1729549803.9156177,53,999
1729549803.9875998,53,999
1729549804.101611,53,999
1729549804.204613,53,999
1729549804.3106215,53,999
1729549804.426657,53,999
1729549804.534677,53,999
1729549804.6446722,53,999
1729549804.7506936,48,1000
1729549804.8387136,48,1000
1729549804.9487321,48,1000
1729549805.0537446,48,1000
1729549805.1597612,48,1000
1729549805.2947404,48,1000
1729549805.443775,48,1000
1729549805.5888057,48,1000
1729549805.7368119,43,1000
1729549805.866838,43,1000
1729549805.971815,43,1000
1729549806.0698552,43,1000
1729549806.1778524,43,1000
1729549806.2899003,43,1000
1729549806.3969033,43,1000
1729549806.5038924,43,1000
1729549806.6209295,43,1000
1729549806.7289522,44,1000
1729549806.8399453,44,1000
1729549806.9589405,44,1000
1729549807.0619898,44,1000
1729549807.1660047,44,1000
1729549807.266007,44,1000
1729549807.381998,44,1000
1729549807.4920273,44,1000
1729549807.6130414,44,1000
1729549807.7260756,42,1000
1729549807.8310742,42,1000
1729549807.9470713,42,1000
1729549808.0751505,42,1000
1729549808.179111,42,1000
1729549808.2611444,42,1000
1729549808.3661318,42,1000
1729549808.4691267,42,1000
1729549808.5731344,42,1000
1729549808.6914878,41,1000
1729549808.8045332,41,1000
1729549808.9155262,41,1000
1729549809.023538,41,1000
1729549809.1275668,41,1000
1729549809.2455792,41,1000
1729549809.357615,41,1000
1729549809.4716282,41,1000
1729549809.5746484,41,1000
1729549809.6894624,47,999
1729549809.768457,47,999
1729549809.8744671,47,999
1729549809.9954836,47,999
1729549810.1035156,47,999
1729549810.2245207,47,999
1729549810.33253,47,999
1729549810.4535265,47,999
1729549810.5945377,47,999
1729549810.7675533,47,999
1729549810.9175713,47,999
1729549811.040578,47,999
1729549811.1485841,47,999
1729549811.2506087,47,999
1729549811.3576245,47,999
1729549811.43359,47,999
1729549811.5395973,47,999
1729549811.651612,47,999
1729549811.7466364,48,1000
1729549811.8556685,48,1000
1729549811.9296327,48,1000
1729549812.0606382,48,1000
1729549812.173649,48,1000
1729549812.2806547,48,1000
1729549812.391668,48,1000
1729549812.5137143,48,1000
1729549812.629752,48,1000
1729549812.7427182,45,1000
1729549812.8597493,45,1000
1729549812.9417167,45,1000
1729549813.0517359,45,1000
1729549813.1367333,45,1000
1729549813.2597468,45,1000
1729549813.3657563,45,1000
1729549813.4777598,45,1000
1729549813.5917673,45,1000
1729549813.680813,45,1000
1729549813.7958164,46,1000
1729549813.9088185,46,1000
1729549814.0178251,46,1000
1729549814.1218543,46,1000
1729549814.2018347,46,1000
1729549814.3088458,46,1000
1729549814.4228468,46,1000
1729549814.5268624,46,1000
1729549814.605848,46,1000
1729549814.7218618,45,1000
1729549814.8058956,45,1000
1729549814.9138682,45,1000
1729549815.0253134,45,1000
1729549815.1075003,45,1000
1729549815.2245255,45,1000
1729549815.329532,45,1000
1729549815.4035265,45,1000
1729549815.5055358,45,1000
1729549815.6115494,45,1000
1729549815.7225833,42,999
1729549815.8335977,42,999
1729549815.9436102,42,999
1729549816.0795968,42,999
1729549816.1986141,42,999
1729549816.3396432,42,999
1729549816.4846182,42,999
1729549816.6220999,42,999
1729549816.779103,44,1000
1729549816.94115,44,1000
1729549817.0521662,44,1000
1729549817.17818,44,1000
1729549817.2872205,44,1000
1729549817.3922646,44,1000
1729549817.4712713,44,1000
1729549817.5942695,44,1000
